,Name,2G,3G,4G,5G,Announced,Released,Dimension,Weight,Build,Sim,Body(Other),Display Type,Display Size,Resolution,Display Protection,Display(Other),OS,Chipset,CPU,GPU,Memory(External),Memory(Internal),Main Camera,Main Camera(Features),Main Camera(Video),Front Camera,Front Camera(Features),Front Camera(Video),Speker,Headphone Jack,WiFi,Bluetooth,GPS,NFC,Radio,USB,Sensors,Battery Type,Charging,Battery Talktime,Colors,Models,SAR,SAR EU,Price,Benchmark Results,Battery Test,Popularity,Rating
0,OnePlus Ace 3V,True,True,True,True,"2024, March 21","Available. Released 2024, March 25",162.7 x 75.2 x 8.5 mm (6.41 x 2.96 x 0.33 in),200 g (7.05 oz),"Glass front, glass back, plastic frame","Dual SIM (Nano-SIM, dual stand-by)","IP65, waterproof and dustproof","AMOLED, 1B colors, 120Hz, 1100 nits (HBM), 2150 nits (peak)","6.74 inches, 109.2 cm2 (~89.3% screen-to-body ratio)","1240 x 2772 pixels, 20:9 ratio (~451 ppi density)",,,"Android 14, ColorOS 14",Qualcomm SM7675 Snapdragon 7+ Gen 3 (4 nm),Octa-core (1x2.8 GHz Cortex-X4 & 4x2.6 GHz Cortex-A720 & 3x1.9 GHz Cortex-A520),Adreno 732,No,"256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM","50 MP, f/1.8, 26mm (wide), 1/1.95"", 0.8µm, PDAF, OIS
8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm","LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/120fps, gyro-EIS, OIS","16 MP, f/2.4, 26mm (wide), 1/3"", 1.0µm",,1080p@30fps,"Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","5.4, A2DP, LE, aptX HD, LHDC","GPS (L1+L5), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), GLONASS","Yes, eSE, HCE",No,USB Type-C 2.0,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","5500 mAh, non-removable","100W wired, 1-100% in 26 min (advertised)",,"Purple, Gray",,,,About 260 EUR,,,"407,504 hits",
1,OnePlus Nord CE4,True,True,True,True,"2024, April 01","Available. Released 2024, April 04",162.5 x 75.3 x 8.4 mm (6.40 x 2.96 x 0.33 in),186 g (6.56 oz),,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IP54, dust and splash resistant","Fluid AMOLED, 1B colors, 120Hz, HDR10+, 900 nits (HBM), 1100 nits (peak)","6.7 inches, 108.0 cm2 (~88.3% screen-to-body ratio)","1080 x 2412 pixels, 20:9 ratio (~394 ppi density)",,,"Android 14, ColorOS 14",Qualcomm SM7550-AB Snapdragon 7 Gen 3 (4 nm),Octa-core (1x2.63 GHz Cortex-A715 & 4x2.4 GHz Cortex-A715 & 3x1.8 GHz Cortex-A510),Adreno 720,microSDXC (uses shared SIM slot),"128GB 8GB RAM, 256GB 8GB RAM","50 MP, f/1.8, 26mm (wide), 1/1.95"", 0.8µm, PDAF, OIS
8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm","Dual-LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps, gyro-EIS, OIS","16 MP, f/2.4, 26mm (wide), 1/3.0"", 1.0µm",Panorama,1080p@30fps,"Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","5.4, A2DP, LE, aptX HD, LHDC","GPS, GALILEO, GLONASS, BDS, QZSS",No,No,USB Type-C 2.0,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","5500 mAh, non-removable","100W wired, 1-100% in 29 min (advertised)",,"Celadon Marble, Dark Chrome",,1.16 W/kg (head)     0.91 W/kg (body)     ,,"₹ 24,998",,,"771,466 hits",
2,OnePlus Watch 2,True,True,True,False,"2024, February 26","Available. Released Exp. release 2024, March 05",47 x 46.6 x 12.1 mm (1.85 x 1.83 x 0.48 in),49 g (1.73 oz),"Sapphire crystal front, stainless steel frame, plastic back",No,"IP68 dust/water resistant (up to 1.5m for 30 min)
MIL-STD-810H compliant
Waterproof (5ATM)
Compatible with standard 22mm straps","AMOLED, 1000 nits (HBM)",1.43 inches,466 x 466 pixels (~326 ppi density),Sapphire crystal glass,Always-on display,Android Wear OS 4,Qualcomm Snapdragon W5 Gen 1 (4 nm),,,No,32GB 2GB RAM,No,,,,,,Yes,No,"Wi-Fi 802.11 a/b/g/n, dual-band","5.0, A2DP, LE","GPS (L1+L5), GLONASS, GALILEO, BDS, QZSS",Yes,No,No,"Accelerometer, gyro, barometer, compass, heart rate, SpO2","500 mAh, non-removable",7.5W wired,,"Black Steel, Radiant Steel",,,,"€ 303.14 / ₹ 24,999",,,"86,580 hits",
3,OnePlus Nord N30 SE,True,True,True,True,"2024, January 29","Available. Released 2024, January 31",165.6 x 76 x 8 mm (6.52 x 2.99 x 0.31 in),193 g (6.81 oz),"Glass front, plastic frame, plastic back","Dual SIM (Nano-SIM, dual stand-by)",,IPS LCD,"6.72 inches, 109.0 cm2 (~86.6% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~392 ppi density)",,,"Android 13, OxygenOS 13.1",Mediatek Dimensity 6020 (7 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,No,128GB 4GB RAM,"50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, PDAF
2 MP, f/2.4, (depth)","LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, (wide), 1/4.0"", 1.12µm",,1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.3, A2DP, LE","GPS, GALILEO, GLONASS, BDS",Yes,No,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","5000 mAh, non-removable","33W wired, 51% in 30 min (advertised)",,"Black Satin, Cyan",CPH2605,,,"€ 215.88 / ₹ 21,900",,,"263,578 hits",
4,OnePlus 12R,True,True,True,True,"2024, January 23","Available. Released 2024, February 06",163.3 x 75.3 x 8.8 mm (6.43 x 2.96 x 0.35 in),207 g (7.30 oz),"Glass front (Gorilla Glass Victus 2), aluminum frame, glass back","Dual SIM (Nano-SIM, dual stand-by)","IP64, waterproof and dustproof","LTPO4 AMOLED, 1B colors, 120Hz, HDR10+, Dolby Vision, 1600 nits (HBM), 4500 nits (peak)","6.78 inches, 111.7 cm2 (~90.9% screen-to-body ratio)",1264 x 2780 pixels (~450 ppi density),Corning Gorilla Glass Victus 2,,"Android 14, OxygenOS 14",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 256GB 16GB RAM","50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, multi-directional PDAF, Laser AF, OIS
8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)","LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/120/240fps, gyro-EIS, OIS","16 MP, f/2.4, 26mm (wide), 1/3"", 1.0µm","HDR, panorama","1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band","5.3, A2DP, LE, aptX HD","GPS, GALILEO, GLONASS, BDS, QZSS",Yes,No,USB Type-C 2.0,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum","5500 mAh, non-removable","100W wired, 1-100% in 26 min (advertised)",,"Iron Gray, Cool Blue, Electric Violet","CPH2609, CPH2585",1.19 W/kg (head)     0.82 W/kg (body)     ,,"$ 499.99 / £ 549.00 / € 538.47 / ₹ 39,990","
AnTuTu: 1518552 (v10)
GeekBench: 5245 (v6)
3DMark Wild life: 14101 (offscreen 1440p)",,"1,352,405 hits",4.1
5,OnePlus 12,True,True,True,True,"2023, December 05","Available. Released 2023, December 11",164.3 x 75.8 x 9.2 mm (6.47 x 2.98 x 0.36 in),220 g (7.76 oz),"Glass front (Gorilla Glass Victus 2), glass back (Gorilla Glass), aluminum frame","Single SIM (Nano-SIM) or Dual SIM (2x Nano-SIM, eSIM, dual stand-by) or Dual SIM (2x Nano-SIM, dual stand-by)","IP65, waterproof and dustproof","LTPO AMOLED, 1B colors, 120Hz, Dolby Vision, HDR10+, 600 nits (typ), 1600 nits (HBM), 4500 nits (peak)","6.82 inches, 113.0 cm2 (~90.8% screen-to-body ratio)",1440 x 3168 pixels (~510 ppi density),Corning Gorilla Glass Victus 2,Always-on display,"Android 14, OxygenOS 14 (International), ColorOS 14 (China)",Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),Adreno 750,No,"256GB 12GB RAM, 256GB 16GB RAM, 512GB 16GB RAM, 1TB 16GB RAM, 1TB 24GB RAM","50 MP, f/1.6, 23mm (wide), 1/1.43"", 1.12µm, multi-directional PDAF, OIS
64 MP, f/2.6, 70mm (periscope telephoto), 1/2.0"", 0.7µm, PDAF, OIS, 3x optical zoom
48 MP, f/2.2, 14mm, 114˚ (ultrawide), 1/2.0"", 0.8µm, PDAF","Hasselblad Color Calibration, Dual-LED flash, HDR, panorama","8K@24fps, 4K@30/60fps, 1080p@30/60/240/480fps, Auto HDR, gyro-EIS, Dolby Vision","32 MP, f/2.4, 21mm (wide), 1/2.74"", 0.8µm","Auto-HDR, panorama","4K@30fps, 1080p@30fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct","5.4, A2DP, LE, aptX HD, LHDC","GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC","Yes, eSE, HCE",No,"USB Type-C 3.2, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum","Li-Po 5400 mAh, non-removable","100W wired, PD, QC, 1-100% in 26 min (International)
80W wired, PD, QC, 1-100% in 30 min (USA)
50W wireless, 1-100% in 55 min (advertised)
10W reverse wireless",,"Flowy Emerald, Silky Black, Silver","PJD110, CPH2573, CPH2581",1.18 W/kg (head)     0.68 W/kg (body)     ,,"$ 879.99 / £ 799.00 / € 848.00 / ₹ 64,999","
AnTuTu: 1821801 (v10)
GeekBench: 5124 (v6)
GFXBench ES 3.1: 157fps (offscreen 1080p)",,"2,442,979 hits",4.4
6,OnePlus Ace 3,True,True,True,True,"2024, January 04","Available. Released 2024, January 15",163.3 x 75.3 x 8.8 mm (6.43 x 2.96 x 0.35 in),207 g (7.30 oz),"Glass front (Gorilla Glass Victus 2), glass back, aluminum frame","Dual SIM (Nano-SIM, dual stand-by)",Aircraft-grade aluminum alloy,"LTPO AMOLED, 1B colors, 120Hz, HDR10+, Dolby Vision, 1600 nits (HBM), 4500 nits (peak)","6.78 inches, 111.7 cm2 (~90.9% screen-to-body ratio)",1264 x 2780 pixels (~450 ppi density),Corning Gorilla Glass Victus 2,,"Android 14, ColorOS 14",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,No,"256GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM","50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, PDAF, OIS
8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)","LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/120/240fps, gyro-EIS, OIS","16 MP, f/2.4, 26mm (wide), 1/3"", 1.0µm",HDR,1080p@30fps,"Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band","5.3, A2DP, LE, aptX HD","GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5)","Yes, eSE, HCE",No,USB Type-C 2.0,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum","5500 mAh, non-removable","100W wired, 1-100% in 27 min (advertised)",,"Black, Blue, Rose Gold",,,,About 340 EUR,,,"453,493 hits",
7,OnePlus Open,True,True,True,True,"2023, October 19","Available. Released 2023, October 26",Unfolded: 153.4 x 143.1 x 5.8 mmFolded: 153.4 x 73.3 x 11.7 mm,239 g or 245 g (8.43 oz),"Glass front (Ceramic Guard) (folded), plastic front (unfolded), glass back or eco leather back, aluminum frame","Dual SIM (2x Nano-SIM, eSIM, dual stand-by)",IPX4 splash resistant,"Foldable LTPO3 Flexi-fluid AMOLED, 1B colors, Dolby Vision, 120Hz, 2800 nits (peak)","7.82 inches, 196.7 cm2 (~89.6% screen-to-body ratio)",2268 x 2440 pixels (~426 ppi density),,"Cover display:
LTPO3 Super Fluid OLED, 1B colors, Dolby Vision, 120Hz, 2800 nits (peak)
6.31 inches, 1116 x 2484 pixels, 431 ppi, Ceramic Guard","Android 13, upgradable to Android 14, OxygenOS 14",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,No,512GB 16GB RAM,"48 MP, f/1.7, 24mm (wide), 1/1.43"", 1.12µm, multi-directional PDAF, OIS
64 MP, f/2.6, 70mm (telephoto), 1/2.0"", 0.7µm, PDAF, OIS, 3x optical zoom
48 MP, f/2.2, 14mm, 114˚ (ultrawide), 1/2.0"", 0.8µm, PDAF","Hasselblad Color Calibration, LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/120/240/480fps gyro-EIS, HDR10+, Dolby Vision","20MP, f/2.2, 20mm (ultrawide), 1/4.0"", 0.7µm
Cover camera:
32MP, f/2.4, 22mm (ultrawide), 1/3.14"", 0.7µm",HDR,"4K@30fps, 1080p@30fps, gyro-EIS","Yes, with stereo speakers (Dolby Atmos enhanced)",No,"Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band","5.3, A2DP, LE, aptX HD","GPS (L1+L5), GLONASS, BDS, GALILEO (E1+E5a), QZSS",Yes,No,"USB Type-C 3.1, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Li-Po 4805 mAh, non-removable","67W wired, PD, 1-100% in 42 min (advertised)
Reverse wired",,"Emerald Dusk, Voyager Black",CPH2551,0.98 W/kg (head)     0.76 W/kg (body)     ,,"$ 1,219.99 / £ 1,659.05 / € 1,807.00 / ₹ 1,799","
AnTuTu: 968130 (v9), 1349633 (v10)
GeekBench: 3969 (v5.5), 4169 (v6.0)
GFXBench: 51fps (ES 3.1 onscreen)",Endurance rating 96h,"789,931 hits",4.6
8,OnePlus Pad Go,True,True,True,False,"2023, October 06","Available. Released 2023, October 20",255.1 x 188 x 6.9 mm (10.04 x 7.40 x 0.27 in),532 g (1.17 lb),,Yes,Stylus support,"IPS LCD, 90Hz, 400 nits (typ)","11.35 inches, 396.1 cm2 (~82.6% screen-to-body ratio)",1720 x 2408 pixels (~260 ppi density),,,"Android 13, OxygenOS 13.2",Mediatek Helio G99 (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (dedicated slot),"128GB 8GB RAM, 256GB 8GB RAM",8 MP,,1080p@30fps,8 MP,,1080p@30fps,"Yes, with stereo speakers (4 speakers)",No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.2, A2DP, LE, aptX HD",No,No,No,USB Type-C 2.0,"Accelerometer, proximity (accessories only), gyro, compass","Li-Po 8000 mAh, non-removable",33W wired,,Twin Mint,,,,About 230 EUR,,,"279,999 hits",
9,OnePlus Ace 2 Pro,True,True,True,True,"2023, August 16","Available. Released 2023, August 23",163.1 x 74.2 x 9 mm (6.42 x 2.92 x 0.35 in),210 g (7.41 oz),"Glass front (Asahi Glass), plastic frame, glass back (Gorilla Glass 5)","Dual SIM (Nano-SIM, dual stand-by)",,"AMOLED, 1B colors, 120Hz, HDR10+, 550 nits (typ), 1200 nits (HBM), 1600 nits (peak)","6.74 inches, 109.2 cm2 (~90.3% screen-to-body ratio)","1240 x 2772 pixels, 20:9 ratio (~451 ppi density)",Asahi Glass,,"Android 13, ColorOS 13.1",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,No,"256GB 12GB RAM, 512GB 16GB RAM, 1TB 24GB RAM","50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, PDAF, OIS
8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)","LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/120/240fps, gyro-EIS, OIS","16 MP, f/2.4, 26mm (wide), 1/3.09"", 1.0µm",HDR,1080p@30fps,"Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band","5.3, A2DP, LE, aptX HD","GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5)","Yes, eSE, HCE",No,USB Type-C 2.0,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum","Li-Po 5000 mAh, non-removable",150W wired,,"Aurora Green, Titanium Gray",,,,About 380 EUR,,,"914,843 hits",
