,Name,2G,3G,4G,5G,Announced,Released,Dimension,Weight,Build,Sim,Body(Other),Display Type,Display Size,Resolution,Display Protection,Display(Other),OS,Chipset,CPU,GPU,Memory(External),Memory(Internal),Main Camera,Main Camera(Features),Main Camera(Video),Front Camera,Front Camera(Features),Front Camera(Video),Headphone Jack,WiFi,Bluetooth,GPS,NFC,Radio,USB,Sensors,Battery Type,Charging,Battery Talktime,Colors,Models,SAR,SAR EU,Price,Benchmark Results,Battery Test,Rating
0,Honor 200 Pro,True,True,True,True,"2024, May 27","Coming soon. Exp. release 2024, May 31",163.3 x 75.2 x 8.2 mm (6.43 x 2.96 x 0.32 in),199 g (7.02 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IP55, dust and water resistant","OLED, 1B colors, 120Hz, HDR, 4000 nits (peak)","6.78 inches, 111.5 cm2 (~90.8% screen-to-body ratio)",1224 x 2700 pixels (~437 ppi density),,,"Android 14, MagicOS 8",Qualcomm SM8635 Snapdragon 8s Gen 3 (4 nm),Octa-core (1x3.0 GHz Cortex-X4 & 4x2.8 GHz Cortex-A720 & 3x2.0 GHz Cortex-A520),Adreno 735,No,"256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM","50 MP, f/1.9, (wide), 1/1.3"", 1.2µm, PDAF, OIS
50 MP, f/2.4, (telephoto), PDAF, OIS, 2.5x optical zoom
12 MP, f/2.2, 112˚ (ultrawide), AF","LED flash, HDR, panorama","4K@30fps, 1080p@30/60fps, gyro-EIS, OIS","50 MP, f/2.1, (wide)
2 MP, f/2.4, (depth)",HDR,"4K@30fps, 1080p@30fps, gyro-EIS",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.3, A2DP, LE, aptX HD","GPS, GALILEO, GLONASS, QZSS, BDS (B1I+B1c)",Yes,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, compass, ultrasound proximity","5200 mAh, non-removable","100W wired, 60% in 15 min (advertised)
66W wireless, 64% in 30 min (advertised)
5W reverse wired
Reverse wireless",,"Black, Silver, Green, Pink",ELP-AN00,,,About 450 EUR,,,
1,Honor 200,True,True,True,True,"2024, May 27","Coming soon. Exp. release 2024, May 31",161.5 x 74.6 x 7.7 mm (6.36 x 2.94 x 0.30 in),187 g (6.60 oz),,"Dual SIM (Nano-SIM, dual stand-by)",,"OLED, 1B colors, 120Hz, HDR, 4000 nits (peak)","6.7 inches, 108.5 cm2 (~90.0% screen-to-body ratio)",1200 x 2664 pixels (~436 ppi density),,,"Android 14, MagicOS 8",Qualcomm SM7550-AB Snapdragon 7 Gen 3 (4 nm),Octa-core (1x2.63 GHz Cortex-A715 & 4x2.4 GHz Cortex-A715 & 3x1.8 GHz Cortex-A510),Adreno 720,No,"256GB 8GB RAM, 256GB 12GB RAM, 256GB 16GB RAM, 512GB 12GB RAM, 512GB 16GB RAM","50 MP, f/2.0, (wide), 1/1.56"", 1.0µm, PDAF, OIS
50 MP, f/2.4, (telephoto), PDAF, OIS, 2.5x optical zoom
12 MP, f/2.2, 112˚ (ultrawide), AF","LED flash, HDR, panorama","4K@30fps, 1080p@30/60fps, gyro-EIS, OIS","50 MP, f/2.1, (wide)",HDR,"4K@30fps, 1080p@30fps, gyro-EIS",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.3, A2DP, LE, aptX HD","GPS, GALILEO, GLONASS, QZSS, BDS (B1I+B1c)",Yes,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, compass, ultrasound proximity","5200 mAh, non-removable","100W wired, 57% in 15 min (advertised)
5W reverse wired",,"Black, Silver, Blue, Pink",ELI-AN00,,,About 320 EUR,,,
2,Honor 200 Lite,True,True,True,True,"2024, April 25","Available. Released 2024, May 03",161.1 x 74.6 x 6.8 mm (6.34 x 2.94 x 0.27 in),166 g (5.86 oz),,"Dual SIM (Nano-SIM, dual stand-by)",,AMOLED,"6.7 inches, 108.0 cm2 (~89.9% screen-to-body ratio)","1080 x 2412 pixels, 20:9 ratio (~394 ppi density)",,,"Android 14, MagicOS 8",Mediatek Dimensity 6080 (6 nm),Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,No,256GB 8GB RAM,"108 MP, f/1.8, (wide), PDAF
5 MP, f/2.2, (ultrawide)
2 MP, f/2.4, (macro)","LED flash, HDR, panorama",1080p@30fps,"50 MP, f/2.1, (wide)",,1080p@30fps,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE","GPS, GLONASS, GALILEO, BDS",Unspecified,Unspecified,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, proximity, compass","Li-Po 4500 mAh, non-removable",35W wired,,"Starry Blue, Cyan Lake, Black",,,0.84 W/kg (head)     1.25 W/kg (body)     ,About 330 EUR,,,
3,Honor 90 Smart,True,True,True,True,"2024, April 09","Available. Released 2024, April 12",166.7 x 76.5 x 8.2 mm (6.56 x 3.01 x 0.32 in),199 g (7.02 oz),,"Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD, 90Hz, 850 nits (peak)","6.8 inches, 111.3 cm2 (~87.3% screen-to-body ratio)","1080 x 2412 pixels, 20:9 ratio (~389 ppi density)",,,"Android 13, Magic OS 7.2",Mediatek Dimensity 6020 (7 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,No,"128GB 4GB RAM, 256GB","108 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, (wide)",,1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE","GPS, GLONASS, GALILEO, BDS",Yes,No,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, compass","Li-Po 5330 mAh, non-removable",35W wired,,"Emerald Green, Midnight Black","CLK-NX1, CLK-NX3",,,$ 339.00 / £ 169.99 / € 188.30,,,
4,Honor X7b 5G,True,True,True,True,"2024, April 04","Available. Released 2024, May",166.7 x 76.5 x 8.2 mm (6.56 x 3.01 x 0.32 in),199 g (7.02 oz),,"Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD, 90Hz, 850 nits (peak)","6.8 inches, 111.3 cm2 (~87.3% screen-to-body ratio)","1080 x 2412 pixels, 20:9 ratio (~389 ppi density)",,,"Android 13, Magic OS 7.2",Mediatek Dimensity 6020 (7 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,No,256GB 8GB RAM,"108 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, (wide)",,1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE, aptX HD","GPS, GLONASS, GALILEO, BDS",No,No,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, compass, proximity","Li-Po 6000 mAh, non-removable",35W wired,,"Crystal Silver, Emerald Green, Midnight Black",,,,,,,
5,Honor Magic6 RSR Porsche Design,True,True,True,True,"2024, March 18","Available. Released 2024, March 22",162.5 x 75.8 x 8.9 mm (6.40 x 2.98 x 0.35 in),237 g (8.36 oz),"Glass front (NanoCrystal Shield), glass back (NanoCrystal Shield), titanium frame","Dual SIM (Nano-SIM, dual stand-by) or Dual SIM (1x Nano-SIM and 1x eSIM, dual stand-by)",IP68 dust/water resistant (up to 1.5m for 30 min),"LTPO OLED, 1B colors, 120Hz, Dolby Vision, HDR, 1800 nits (HBM), 5000 nits (peak)","6.8 inches, 112.8 cm2 (~91.6% screen-to-body ratio)","1280 x 2800 pixels, 19.5:9 ratio (~453 ppi density)",NanoCrystal Shield,,"Android 14, MagicOS 8",Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),Adreno 750,No,1TB 24GB RAM,"50 MP, f/1.4-2.0, 23mm (wide), 1/1.3"", LiDAR AF, PDAF, OIS
180 MP, f/2.6, (periscope telephoto), 1/1.49"", 0.56µm, PDAF, OIS, 2.5x optical zoom
50 MP, f/2.0, 13mm, 122˚ (ultrawide), 1/2.88"", AF","LED flash, HDR, panorama","4K@24/30/60fps, 1080p@30/60/120/240fps, gyro-EIS, OIS, HDR, 10-bit video","50 MP, f/2.0, 22mm (wide), 1/2.93"", AF
TOF 3D, (depth/biometrics sensor)",,"4K@30fps, 1080p@30/60fps, gyro-EIS",No,"Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band, Wi-Fi Direct","5.3, A2DP, LE, aptX HD","GPS (L1+L5), GLONASS, BDS (B1I+B1c+B2a), GALILEO (E1+E5a)","Yes, HCE, NFC-SIM",No,"USB Type-C 3.2, DisplayPort 1.2, OTG","Fingerprint (under display, optical), Face ID, accelerometer, gyro, proximity, compass, color spectrum","Si/C 5600 mAh, non-removable","80W wired
66W wireless
Reverse wireless
5W reverse wired",,"Agate Grey, Frozen Berry","BVL-N59, BVL-AN20",,,"$ 2,390.00",,,4.5
6,Honor Magic6 Ultimate,True,True,True,True,"2024, March 18","Available. Released 2024, March 22",162.5 x 75.8 x 8.9 mm (6.40 x 2.98 x 0.35 in),227 g (8.01 oz),"Glass front, silicone polymer back (eco leather)","Dual SIM (Nano-SIM, dual stand-by)",IP68 dust/water resistant (up to 1.5m for 30 min),"LTPO OLED, 1B colors, 120Hz, Dolby Vision, HDR, 1600 nits (HBM), 5000 nits (peak)","6.8 inches, 112.8 cm2 (~91.6% screen-to-body ratio)","1280 x 2800 pixels, 19.5:9 ratio (~453 ppi density)",King Kong Rhinoceros,,"Android 14, MagicOS 8",Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),Adreno 750,No,"512GB 16GB RAM, 1TB 16GB RAM","50 MP, f/1.4-2.0, 23mm (wide), 1/1.3"", LiDAR AF, PDAF, OIS
180 MP, f/2.6, (periscope telephoto), 1/1.49"", PDAF, OIS, 2.5x optical zoom
50 MP, f/2.0, 13mm, 122˚ (ultrawide), AF","LED flash, HDR, panorama","4K@24/30/60fps, 1080p@30/60/120/240fps, gyro-EIS, OIS, HDR, 10-bit video","50 MP, f/2.0, (ultrawide), AF
TOF 3D, (depth/biometrics sensor)",,"4K@30fps, 1080p@30/60fps, gyro-EIS",No,"Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band, Wi-Fi Direct","5.3, A2DP, LE, aptX HD","GPS (L1+L5), GLONASS, BDS (B1I+B1c+B2a), GALILEO (E1+E5a)","Yes, HCE, NFC-SIM",No,"USB Type-C 3.2, DisplayPort 1.2, OTG","Fingerprint (under display, optical), Face ID, accelerometer, gyro, proximity, compass, color spectrum","Li-Po 5600 mAh, non-removable","80W wired
66W wireless
Reverse wireless
5W reverse wired",,"Black, Purple",BVL-AN20,,,About 900 EUR,,,
7,Honor Watch GS 4,True,True,True,False,"2024, March 18","Available. Released 2024, March 29",45.9 x 45.9 x 10.5 mm (1.81 x 1.81 x 0.41 in),44 g (1.55 oz),"Glass front, plastic back, stainless steel frame 316L",No,"50m water resistant
5 ATM
Compatible with standard 22mm straps",AMOLED,1.43 inches,466 x 466 pixels (~326 ppi density),,,Proprietary OS,,,,No,4GB 32MB RAM,No,,,,,,No,No,"5.0, LE, EDR","GPS (L1+L5), BDS (B1I+B2a), GALILEO (E1+E5a), QZSS (L1+L5), GLONASS",Yes (China only),No,No,"Accelerometer, gyro, heart rate, barometer, compass, SpO2","Li-Po 451 mAh, non-removable",,,"Black, Steel, Gold",MUS-B19,,,About 120 EUR,,,
8,Honor Choice Watch,True,True,True,False,"2024, February 15","Available. Released 2024, February 24",49.7 x 39.9 x 10.2 mm (1.96 x 1.57 x 0.40 in),-,"Glass front, plastic back, plastic frame",No,5ATM water resistant,"AMOLED, 550 nits (peak)",1.95 inches,410 x 502 pixels (~332 ppi density),,,Proprietary OS,,,,No,,No,,,,,,No,No,"5.3, LE","GPS, GLONASS, BDS, GALILEO, QZSS",No,No,No,"Accelerometer, heart rate, compass, SpO2","300 mAh, non-removable",,,"Black, White",,,,About 70 EUR,,,
9,Honor Magic V2 RSR Porsche Design,True,True,True,True,"2024, January 11","Available. Released 2024, January 12",Unfolded: 156.7 x 145.4 x 4.7 mm or 4.8 mmFolded: 156.7 x 74 x 9.9 mm or 10.1 mm,234 g (8.25 oz),"Glass front, glass back, magnesium alloy frame, titanium alloy folding mechanism","Nano-SIM, eSIM or Dual SIM (Nano-SIM, dual stand-by)",Stylus support,"Foldable LTPO OLED, 1B colors, 120Hz, HDR10+, IMAX Enhanced, 1600 nits (peak)","7.92 inches, 201.6 cm2 (~88.5% screen-to-body ratio)",2156 x 2344 pixels (~402 ppi density),,"Cover display:
LTPO OLED, 1B colors, 120Hz, HDR10+, 2500 nits
6.43 inches, 1060 x 2376 pixels, 402 ppi, nanocrystal glass 2.0","Android 13, MagicOS 7.2",Qualcomm SM8550-AC Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.36 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,No,1TB 16GB RAM,"50 MP, f/1.9, (wide), PDAF, 8x8 dToF Laser AF, OIS
20 MP, f/2.4, 62mm (telephoto), PDAF, 2.5x optical zoom, OIS
50 MP, f/2.0, 13mm (ultrawide), AF","LED flash, HDR, panorama","4K@30/60fps (10-bit), 1080p@30/60fps, gyro-EIS, HDR10+, OIS","16 MP, f/2.2, (wide)",HDR,"4K@30fps, 1080p@30fps, gyro-EIS",No,"Wi-Fi 802.11 a/b/g/n/ac/6e/7, dual-band, Wi-Fi Direct","5.3, A2DP, LE, aptX HD","GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5)","Yes; NFC-SIM, HCE",No,"USB Type-C 3.1, OTG, Display Port 1.2","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, color spectrum","Si/C 5000 mAh, non-removable","66W wired
5W reverse wired",,Agate Gray,VER-AN10,,,About 2700 EUR,,,4.3
