,Name,2G,3G,4G,5G,Announced,Released,Dimension,Weight,Build,Sim,Body(Other),Display Type,Display Size,Resolution,Display Protection,Display(Other),OS,Chipset,CPU,GPU,Memory(External),Memory(Internal),Main Camera,Main Camera(Features),Main Camera(Video),Front Camera,Front Camera(Features),Front Camera(Video),Headphone Jack,WiFi,Bluetooth,GPS,NFC,Radio,USB,Sensors,Battery Type,Charging,Battery Talktime,Colors,Models,SAR,SAR EU,Price,Benchmark Results,Battery Test,Rating
0,Oppo Reno12 Pro (China),True,True,True,True,"2024, May 23","Coming soon. Exp. release 2024, May 31",161.4 x 74.8 x 7.6 mm (6.35 x 2.94 x 0.30 in),183 g (6.46 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IP65, dust and water resistant","AMOLED, 1B colors, 120Hz, HDR10+, 1200 nits (peak)","6.7 inches, 108.0 cm2 (~89.5% screen-to-body ratio)","1080 x 2412 pixels, 20:9 ratio (~394 ppi density)",Corning Gorilla Glass (unspecified version),,"Android 14, ColorOS 14.1",Mediatek Dimensity 9200+ (4 nm),Octa-core (1x3.35 GHz Cortex-X3 & 3x3.0 GHz Cortex-A715 & 4x2.0 GHz Cortex-A510),Immortalis-G715 MC11,No,"256GB 12GB RAM, 256GB 16GB RAM, 512GB 16GB RAM","50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, multi-directional PDAF, OIS
50 MP, f/2.0, 47mm (telephoto), PDAF, 2x optical zoom
8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm","LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/120/240fps, 720p@480fps, gyro-EIS, HDR","50 MP, f/2.0, (wide), AF","Panorama, HDR","4K@30/60fps, 1080p@30/60fps, gyro-EIS",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","5.4, A2DP, LE, aptX HD, LHDC","GPS, GLONASS, GALILEO, BDS, QZSS","Yes, eSE, HCE, NFC-SIM, eID",No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","5000 mAh, non-removable","80W wired, PD
Reverse wired",,"Black, Purple, Rose Gold",PJW110,,,About 440 EUR,,,
1,Oppo Reno12 (China),True,True,True,True,"2024, May 23","Coming soon. Exp. release 2024, May 31",161.4 x 74.8 x 7.3 mm (6.35 x 2.94 x 0.29 in),179 g (6.31 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IP65, dust and water resistant","AMOLED, 1B colors, 120Hz, HDR10+, 1200 nits (peak)","6.7 inches, 108.0 cm2 (~89.5% screen-to-body ratio)","1080 x 2412 pixels, 20:9 ratio (~394 ppi density)",Corning Gorilla Glass (unspecified version),,"Android 14, ColorOS 14.1",Mediatek Dimensity 8250 (4 nm),Octa-core (1x3.1 GHz Cortex-A78 & 3x3.0 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G610 MC6,No,"256GB 12GB RAM, 256GB 16GB RAM, 512GB 12GB RAM, 512GB 16GB RAM","50 MP, f/1.8, 26mm (wide), 1/1.95"", PDAF, OIS
50 MP, f/2.0, 47mm (telephoto), PDAF, 2x optical zoom
8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm","LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/120fps, gyro-EIS, HDR","50 MP, f/2.0, (wide), AF","Panorama, HDR","4K@30/60fps, 1080p@30/60fps, gyro-EIS",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","5.4, A2DP, LE, aptX HD, LHDC","GPS, GLONASS, GALILEO, BDS, QZSS","Yes, eSE, HCE, NFC-SIM, eID",No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","5000 mAh, non-removable","80W wired, PD
Reverse wired",,"Black, Silver, peach",PJV110,,,About 350 EUR,,,
2,Oppo K12x,True,True,True,True,"2024, March 14","Available. Released 2024, May 20",162.9 x 75.6 x 8.1 mm (6.41 x 2.98 x 0.32 in),191 g (6.74 oz),"Glass front, plastic frame, plastic back","Hybrid Dual SIM (Nano-SIM, dual stand-by)",,"OLED, 120Hz, 600 nits (typ), 1200 nits (HBM), 2100 nits (peak)","6.67 inches, 107.4 cm2 (~87.2% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,,"Android 14, ColorOS 14",Qualcomm SM6375 Snapdragon 695 5G (6 nm),Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),Adreno 619,microSDXC (uses shared SIM slot),"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","50 MP, f/1.8, (wide), 1/2.76"", PDAF
2 MP, f/2.4, (depth)","LED flash, HDR, panorama","1080p@30fps, gyro-EIS","16 MP, f/2.4, (wide)",Panorama,1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,"GPS, GALILEO, GLONASS, BDS, QZSS",No,No,USB Type-C 2.0,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","5500 mAh, non-removable","80W wired, PD3.0, 100% in 50 min (advertised)",,"Gray, Light Green",PJT110,,,About 170 EUR,,,
3,Oppo A60,True,True,True,False,"2024, April 26","Available. Released 2024, April 26",165.7 x 76 x 7.7 mm (6.52 x 2.99 x 0.30 in),186 g (6.56 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IP54, dust and splash resistant","IPS LCD, 90Hz, 950 nits (peak)","6.67 inches, 107.2 cm2 (~85.2% screen-to-body ratio)","720 x 1604 pixels, 20:9 ratio (~264 ppi density)",,,"Android 14, ColorOS 14",Qualcomm SM6225 Snapdragon 680 4G (6 nm),Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver),Adreno 610,microSDXC,"128GB 8GB RAM, 256GB 8GB RAM","50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)","LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, (wide)",,1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE","GPS, GALILEO, GLONASS, BDS, QZSS",Unspecified,No,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, proximity, compass","5000 mAh, non-removable","45W wired, 50% in 30 min (advertised)",,"Purple, Blue",CPH2631,,,,,,
4,Oppo K12,True,True,True,True,"2024, April 24","Available. Released 2024, April 29",162.5 x 75.3 x 8.4 mm (6.40 x 2.96 x 0.33 in),186 g (6.56 oz),,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IP54, dust and splash resistant","AMOLED, 1B colors, 120Hz, HDR10+, 500 nits (typ), 900 nits (HBM), 1100 nits (peak)","6.7 inches, 108.0 cm2 (~88.3% screen-to-body ratio)","1080 x 2412 pixels, 20:9 ratio (~394 ppi density)",,,"Android 14, ColorOS 14",Qualcomm SM7550-AB Snapdragon 7 Gen 3 (4 nm),Octa-core (1x2.63 GHz Cortex-A715 & 4x2.4 GHz Cortex-A715 & 3x1.8 GHz Cortex-A510),Adreno 720,microSDXC (uses shared SIM slot),"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","50 MP, f/1.8, 26mm (wide), 1/1.95"", 0.8µm, PDAF, OIS
8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm","Dual-LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps, gyro-EIS, OIS","16 MP, f/2.4, 26mm (wide), 1/3.0"", 1.0µm",Panorama,1080p@30fps,No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","5.4, A2DP, LE, aptX HD, LHDC","GPS, GALILEO, GLONASS, BDS, QZSS","Yes, eSE, HCE, NFC-SIM, eID",No,USB Type-C 2.0,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","5500 mAh, non-removable","100W wired, 1-100% in 27 min (advertised)",,"Celadon Marble, Dark Chrome",PJR110,,,About 250 EUR,,,
5,Oppo A3 Pro,True,True,True,True,"2024, April 12","Available. Released 2024, April 19",162.7 x 74.3 x 7.5 mm or 7.9 mm,177 g or 182 g (6.24 oz),,"Dual SIM (Nano-SIM, dual stand-by)",IP69 dust/water resistant (up to 1.5m for 30 min),"AMOLED, 1B colors, 120Hz, 500 nits (typ), 800 nits (HBM), 950 nits (peak)","6.7 inches, 108.0 cm2 (~89.4% screen-to-body ratio)","1080 x 2412 pixels, 20:9 ratio (~394 ppi density)",,,"Android 14, ColorOS 14",Mediatek Dimensity 7050 (6 nm),Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68 MC4,No,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","64 MP, f/1.7, 25mm (wide), 1/2.0"", 0.7µm, PDAF
2 MP, f/2.4, (depth)","LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps, gyro-EIS","8 MP, f/2.0, (wide)",,1080p@30fps,No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","5.3, A2DP, LE, aptX HD","GPS, GLONASS, GALILEO, BDS, QZSS",Unspecified,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 5000 mAh, non-removable","67W wired, PD, 56% in 20 min (advertised)
Reverse wired",,"Blue, Pink, Mint",PJY110,,,About 260 EUR,,,
6,Oppo Watch X,True,True,True,False,"2024, February 29","Available. Released 2024, March 04",47 x 46.6 x 12.1 mm (1.85 x 1.83 x 0.48 in),49 g (1.73 oz),"Sapphire crystal front, stainless steel frame, plastic back",No,"IP68 dust/water resistant (up to 1.5m for 30 min)
MIL-STD-810H compliant
Waterproof (5ATM)
Compatible with standard 22mm straps","AMOLED, 1000 nits (HBM)",1.43 inches,466 x 466 pixels (~326 ppi density),Sapphire crystal glass,Always-on display,Android Wear OS 4,Qualcomm Snapdragon W5 Gen 1 (4 nm),,,No,32GB 2GB RAM,No,,,,,,No,"Wi-Fi 802.11 a/b/g/n, dual-band","5.0, A2DP, LE","GPS (L1+L5), GLONASS, GALILEO, BDS, QZSS",Yes,No,No,"Accelerometer, gyro, barometer, compass, heart rate, SpO2","500 mAh, non-removable",7.5W wired,,"Black, Silver",OWWE231,,,,,,
7,Oppo F25 Pro,True,True,True,True,"2024, February 29","Available. Released 2024, March 04",161.1 x 74.7 x 7.5 mm (6.34 x 2.94 x 0.30 in),177 g (6.24 oz),,"Dual SIM (Nano-SIM, dual stand-by)",IP65 dust/water resistant,"AMOLED, 1B colors, 120Hz, HDR10+, 500 nits (typ), 900 nits (HBM), 1100 nits (peak)","6.7 inches, 108.0 cm2 (~89.8% screen-to-body ratio)","1080 x 2412 pixels, 20:9 ratio (~394 ppi density)",Panda glass,,"Android 14, ColorOS 14",Mediatek Dimensity 7050 (6 nm),Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68 MC4,microSDXC,"128GB 8GB RAM, 256GB 8GB RAM","64 MP, f/1.7, 25mm (wide), 1/2.0"", 0.7µm, PDAF
8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)","LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120/480fps, gyro-EIS","32 MP, f/2.4, 22mm (wide), 1/2.74"", 0.8µm",Panorama,"4K@30fps, 1080p@30fps, gyro-EIS",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","5.2, A2DP, LE, aptX HD","GPS, GLONASS, GALILEO, BDS, QZSS",No,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","5000 mAh, non-removable","67W wired, PD2.0, QC3, 100% in 48 min (advertised)
Reverse wired",,"Ocean Blue, Lava Red",,,,"₹ 18,358",,,
8,Oppo Reno11 F,True,True,True,True,"2024, February 08","Available. Released 2024, February 08",161.1 x 74.7 x 7.5 mm (6.34 x 2.94 x 0.30 in),177 g (6.24 oz),,"Dual SIM (Nano-SIM, dual stand-by)",IP65 dust/water resistant,"AMOLED, 1B colors, 120Hz, HDR10+, 500 nits (typ), 900 nits (HBM), 1100 nits (peak)","6.7 inches, 108.0 cm2 (~89.8% screen-to-body ratio)","1080 x 2412 pixels, 20:9 ratio (~394 ppi density)",Panda glass,,"Android 14, ColorOS 14",Mediatek Dimensity 7050 (6 nm),Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68 MC4,microSDXC,256GB 8GB RAM,"64 MP, f/1.7, 25mm (wide), 1/2.0"", 0.7µm, PDAF
8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)","LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120/480fps, gyro-EIS","32 MP, f/2.4, 22mm (wide), 1/2.74"", 0.8µm",Panorama,"4K@30fps, 1080p@30fps, gyro-EIS",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","5.2, A2DP, LE, aptX HD, LHDC","GPS, GLONASS, GALILEO, BDS, QZSS",Yes,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","5000 mAh, non-removable","67W wired, PD2.0, QC3, 100% in 48 min (advertised)
Reverse wired",,"Palm Green, Ocean Blue, Coral Purple",CPH2603,,,$ 447.00 / £ 268.57 / € 284.84,,,
9,Oppo Pad Neo,True,True,True,False,"2024, January 16","Available. Released 2024, January 16",255.1 x 188 x 6.9 mm (10.04 x 7.40 x 0.27 in),538 g (1.19 lb),,Nano-SIM,Stylus support,"IPS LCD, 1B colors, 90Hz, 400 nits (typ)","11.4 inches, 396.6 cm2 (~82.7% screen-to-body ratio)",1720 x 2408 pixels (~260 ppi density),,,"Android 13, ColorOS 13.2",Mediatek Helio G99 (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC,"128GB 6GB RAM, 128GB 8GB RAM","8 MP, f/2.0, (wide)",Panorama,1080p@30fps,"8 MP, f/2.0, (wide)",Panorama,1080p@30fps,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.2, A2DP, LE, aptX HD","GPS, GALILEO, GLONASS, BDS",No,No,USB Type-C 2.0,"Accelerometer, proximity (accessories only), gyro, compass","8000 mAh, non-removable","33W wired, PD",,Gray,"OPD2302, OPD2303",,,About 240 EUR,,,
