,Name,2G,3G,4G,5G,Announced,Released,Dimension,Weight,Build,Sim,Body(Other),Display Type,Display Size,Resolution,Display Protection,Display(Other),OS,Chipset,CPU,GPU,Memory(External),Memory(Internal),Main Camera,Main Camera(Features),Main Camera(Video),Front Camera,Front Camera(Features),Front Camera(Video),Headphone Jack,WiFi,Bluetooth,GPS,NFC,Radio,USB,Sensors,Battery Type,Charging,Battery Talktime,Colors,Models,SAR,SAR EU,Price,Benchmark Results,Battery Test,Popularity,Rating
0,vivo Y200 Pro,TRUE,TRUE,TRUE,TRUE,"2024, May 21","Available. Released 2024, May 21",164.4 x 74.9 x 7.5 mm (6.47 x 2.95 x 0.30 in),172 g or 183 g (6.07 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IP54, dust and splash resistant","AMOLED, 120Hz, 1300 nits (peak)","6.78 inches, 111.0 cm2 (~90.1% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~388 ppi density)",,Always-on display,"Android 14, Funtouch 14",Qualcomm SM6375 Snapdragon 695 5G (6 nm),Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.8 GHz Kryo 660 Silver),Adreno 619,No,128GB 8GB RAM,"64 MP, f/1.8, (wide), PDAF, OIS
2 MP, f/2.4, (depth)","LED flash, HDR, panorama",1080p@30fps,"16 MP, f/2.5, (wide)",,1080p@30fps,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.1, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS, NavIC",No,No,"USB Type-C, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","5000 mAh, non-removable","44W wired
Reverse wired",,"Silk black, Silk green",,,,"₹ 24,999",,,"56,861 hits",
1,vivo iQOO Neo9s Pro,TRUE,TRUE,TRUE,TRUE,"2024, May 20","Available. Released 2024, May 20",163.5 x 75.7 x 8 mm or 8.3 mm,190 g or 196 g (6.70 oz),,"Dual SIM (Nano-SIM, dual stand-by)",,"LTPO AMOLED, 1B colors, 144Hz, HDR10+, 1400 nits (HBM)","6.78 inches, 111.0 cm2 (~89.7% screen-to-body ratio)","1260 x 2800 pixels, 20:9 ratio (~453 ppi density)",,,"Android 14, OriginOS 4",Mediatek Dimensity 9300+ (4 nm),Octa-core (1x3.4 GHz Cortex-X4 & 3x2.85 GHz Cortex-X4 & 4x2.0 GHz Cortex-A720),Immortalis-G720 MC12,No,"256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM","50 MP, f/1.9, (wide), 1/1.49"", PDAF, OIS
50 MP, f/2.0, 119˚ (ultrawide), 1/2.76"", 0.64µm, AF","LED flash, panorama, HDR","8K, 4K, 1080p, gyro-EIS","16 MP, f/2.5, (wide)",,1080p@30fps,No,"Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band","5.4, A2DP, LE, aptX HD, aptX Adaptive","GPS (L1+L5), GLONASS, BDS (B1I+B1c+B2a+B2b), GALILEO (E1+E5a+E5b), QZSS (L1+L5), NavIC (L5)",Yes,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","5160 mAh, non-removable","120W wired, 1-40% in 9 min (advertised)
Reverse wired",,"Black, White, Red",V2339FA,,,About 340 EUR,,,"32,429 hits",
2,vivo Y200 GT,TRUE,TRUE,TRUE,TRUE,"2024, May 20","Available. Released 2024, May 20",163.7 x 75.9 x 8 mm (6.44 x 2.99 x 0.31 in),194.6 g (6.88 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IP64, dust and water resistant","AMOLED, 1B colors, 144Hz, HDR, 4500 nits (peak)","6.78 inches, 111.0 cm2 (~89.3% screen-to-body ratio)","1260 x 2800 pixels, 20:9 ratio (~453 ppi density)",,Always-on display,"Android 14, OriginOS 4",Qualcomm SM7550-AB Snapdragon 7 Gen 3 (4 nm),Octa-core (1x2.63 GHz Cortex-A715 & 4x2.4 GHz Cortex-A715 & 3x1.8 GHz Cortex-A510),Adreno 720,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","50 MP, f/1.8, (wide), 1/1.95"", 0.8µm, PDAF
2 MP, f/2.4, (depth)","LED flash, panorama, HDR","4K@30fps, 1080p, gyro-EIS","16 MP, f/2.5, (wide), 1/3.0"", 1.0µm",,1080p@30fps,No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","5.4, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless","GPS, GALILEO, GLONASS, QZSS, BDS (B1I+B1c)",Yes,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","6000 mAh, non-removable","80W wired, 1-50% in 26 min (advertised)
7.5W reverse wired",,"Black, Blue",V2361GA,,,About 230 EUR,,,"35,387 hits",
3,vivo Y200 (China),TRUE,TRUE,TRUE,TRUE,"2024, May 20","Available. Released 2024, May 24",164.4 x 74.8 x 7.6/7.8/8.0 mm,187/188/190 g (6.60 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IP64, dust and water resistant","AMOLED, 1B colors, 120Hz, 1300 nits (peak)","6.78 inches, 111.0 cm2 (~90.3% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~388 ppi density)",,Always-on display,"Android 14, OriginOS 4",Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm),Octa-core (4x2.2 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),Adreno 710,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","50 MP, f/1.8, (wide), 1/1.95"", 0.8µm, PDAF
2 MP, f/2.4, (depth)","LED flash, panorama, HDR","4K@30fps, 1080p, gyro-EIS","8 MP, f/2.1, (wide), 1/4.0"", 1.12µm",,1080p@30fps,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.1, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless","GPS, GALILEO, GLONASS, QZSS, BDS (B1I+B1c)",No,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","6000 mAh, non-removable","80W wired, 1-50% in 24 min (advertised)
Reverse wired",,"Black, Silver, Orange",V2343A,,,About 200 EUR,,,"13,210 hits",
4,vivo Y200t,TRUE,TRUE,TRUE,TRUE,"2024, May 20","Available. Released 2024, May 20",165.7 x 76 x 8 mm (6.52 x 2.99 x 0.31 in),199 g (7.02 oz),"Glass front, plastic frame, plastic back","Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD, 120Hz, 1000 nits (peak)","6.72 inches, 108.8 cm2 (~86.4% screen-to-body ratio)","1080 x 2408 pixels, 20:9 ratio (~393 ppi density)",,,"Android 14, OriginOS 4",Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm),Octa-core (4x2.2 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),Adreno 710,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)","LED flash, HDR, panorama","4K@30fps, 1080p@30fps","8 MP, f/2.1, (wide)",,1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.1, A2DP, LE, aptX HD, aptX Adaptive","GPS, GALILEO, GLONASS, BDS, QZSS",No,No,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","6000 mAh, non-removable","44W wired, 1-50% in 35 min (advertised)
Reverse wired",,"Dark Green, Blue",V2353DA,,,About 140 EUR,,,"11,688 hits",
5,vivo X100 Ultra,TRUE,TRUE,TRUE,TRUE,"2024, May 13","Available. Released 2024, May 28",164.1 x 75.6 x 9.2 mm (6.46 x 2.98 x 0.36 in),229 g (8.08 oz),,"Dual SIM (Nano-SIM, dual stand-by)",IP69/IP68 dust/water resistant (up to 1.5m for 30 min),"LTPO AMOLED, 1B colors, 120Hz, Dolby Vision, HDR, 3000 nits (peak)","6.78 inches, 111.4 cm2 (~89.8% screen-to-body ratio)","1440 x 3200 pixels, 20:9 ratio (~517 ppi density)",,,"Android 14, OriginOS 4",Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),Adreno 750,No,"256GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM","50 MP, f/1.8, 23mm (wide), 1/0.98"", 1.6µm, PDAF, Laser AF, gimbal OIS
200 MP, f/2.7, 85mm (periscope telephoto), 1/1.4"", 0.56µm, PDAF, OIS, 3.7x optical zoom
50 MP, f/2.2, 14mm, 116˚ (ultrawide), 1/2.0"", 0.8µm, AF","Zeiss optics, Zeiss T* lens coating, LED flash, panorama, HDR, 3D LUT import","8K@30fps, 4K@30/60/120fps, 1080p, gyro-EIS, Cinematic mode (4K), Dolby Vision HDR","50 MP, f/2.5, (wide), 1/2.76"", 0.64µm, AF",HDR,"4K@30/60fps, 1080p@30/60fps",No,"Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band","5.4, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless, LHDC","GPS (L1+L5), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), GLONASS",Yes,No,"USB Type-C 3.2, OTG","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass, color spectrum","Si/C 5500 mAh, non-removable","80W wired
30W wireless
Reverse wired",,"Titanium, White, Grey","V2366GA, V2366HA",,,About 830 EUR,,,"250,305 hits",
6,vivo X100s Pro,TRUE,TRUE,TRUE,TRUE,"2024, May 13","Available. Released 2024, May 17",164.1 x 75.3 x 8.9 mm (6.46 x 2.96 x 0.35 in),224 g (7.90 oz),"Glass front, aluminum frame, glass back","Dual SIM (Nano-SIM, dual stand-by)",IP68/IP69 dust/water resistant (up to 1.5m for 30 min),"LTPO AMOLED, 1B colors, 120Hz, 3000 nits (peak)","6.78 inches, 111.0 cm2 (~89.8% screen-to-body ratio)","1260 x 2800 pixels, 20:9 ratio (~453 ppi density)",,,"Android 14, OriginOS 4",Mediatek Dimensity 9300+ (4 nm),Octa-core (1x3.4 GHz Cortex-X4 & 3x2.85 GHz Cortex-X4 & 4x2.0 GHz Cortex-A720),Immortalis-G720 MC12,No,"256GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM","50 MP, f/1.8, 23mm (wide), 1/0.98"", 1.6µm, PDAF, Laser AF, OIS
50 MP, f/2.5, 100mm (periscope telephoto), 1/2"", 0.7µm, PDAF (18cm - ∞), OIS, 4.3x optical zoom
50 MP, f/2.0, 15mm, 119˚ (ultrawide), 1/2.76"", 0.64µm, AF","Zeiss optics, Zeiss T* lens coating, LED flash, panorama, HDR, 3D LUT import","8K@30fps (China model only), 4K@30/60fps, 1080p, gyro-EIS, Cinematic mode (4K)","32 MP, f/2.0, 20mm (ultrawide)",HDR,"4K@30/60fps, 1080p@30/60fps",No,"Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band","5.4, A2DP, LE, aptX HD, LHDC","GPS (L1+L5), BDS (B1I+B1c+B2a+B2b), GALILEO (E1+E5a+E5b), QZSS (L1+L5), NavIC (L5), GLONASS",Yes,No,"USB Type-C 3.2, OTG, DisplayPort","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum","Li-Ion 5400 mAh, non-removable","100W wired, 1-50% in 12 min (advertised)
50W wireless
Reverse wired",,"Titanium, White, Grey",V2324HA,,,About 640 EUR,,,"71,181 hits",
7,vivo X100s,TRUE,TRUE,TRUE,TRUE,"2024, May 13","Available. Released 2024, May 17",163.1 x 75.8 x 7.8 mm (6.42 x 2.98 x 0.31 in),203 g (7.16 oz),"Glass front, aluminum frame, glass back","Dual SIM (Nano-SIM, dual stand-by)",IP68/IP69 dust/water resistant (up to 1.5m for 30 min),"LTPO AMOLED, 1B colors, 120Hz, 3000 nits (peak)","6.78 inches, 111.0 cm2 (~89.8% screen-to-body ratio)","1260 x 2800 pixels, 20:9 ratio (~453 ppi density)",,,"Android 14, OriginOS 4",Mediatek Dimensity 9300+ (4 nm),Octa-core (1x3.4 GHz Cortex-X4 & 3x2.85 GHz Cortex-X4 & 4x2.0 GHz Cortex-A720),Immortalis-G720 MC12,No,"256GB 12GB RAM, 256GB 16GB RAM, 512GB 16GB RAM, 1TB 16GB RAM","50 MP, f/1.6, (wide), 1/1.49"", PDAF, Laser AF, OIS
64 MP, f/2.6, 70mm (periscope telephoto), 1/2.0"", PDAF, OIS, 3x optical zoom
50 MP, f/2.0, 15mm, 119˚ (ultrawide), 1/2.76"", 0.64µm, AF","Zeiss optics, Zeiss T* lens coating, LED flash, panorama, HDR, 3D LUT import","4K@30/60fps, 1080p, gyro-EIS, Cinematic mode (1080p)","32 MP, f/2.0, 20mm (ultrawide)",HDR,1080p@30/60fps,No,"Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band","5.4, A2DP, LE, aptX HD, LHDC","GPS (L1+L5), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5), GLONASS",Yes,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum","Li-Ion 5100 mAh, non-removable","100W wired, 1-50% in 11 min (advertised)
Reverse wired",,"Titanium, White, Grey, Green",V2359A,,,About 520 EUR,,,"49,427 hits",
8,vivo Y18,TRUE,TRUE,TRUE,FALSE,"2024, May 03","Available. Released 2024, May 03",163.6 x 75.6 x 8.4 mm (6.44 x 2.98 x 0.33 in),185 g (6.53 oz),"Glass front, plastic frame, plastic back","Dual SIM (Nano-SIM, dual stand-by)","IP54, dust and splash resistant","IPS LCD, 90Hz, 840 nits (HBM)","6.56 inches, 103.4 cm2 (~83.6% screen-to-body ratio)","720 x 1612 pixels, 20:9 ratio (~269 ppi density)",,,"Android 14, Funtouch 14",Mediatek Helio G85 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM","50 MP, f/1.8, (wide), PDAF
0.08 MP, f/3.0 (auxiliary lens)","LED flash, panorama",1080p@30fps,"8 MP, f/2.0, (wide)",,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE","GPS, GALILEO, GLONASS, BDS, QZSS",No,FM radio,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, proximity, compass","Li-Ion 5000 mAh, non-removable",15W wired,,"Space Black, Gem Green","V2333, V2345",0.98 W/kg (head)     0.84 W/kg (body)     ,,About 100 EUR,,,"74,695 hits",
9,vivo Y18e,TRUE,TRUE,TRUE,FALSE,"2024, April 29","Available. Released 2024, May",163.6 x 75.6 x 8.4 mm (6.44 x 2.98 x 0.33 in),185 g (6.53 oz),"Glass front, plastic frame, plastic back","Dual SIM (Nano-SIM, dual stand-by)","IP54, dust and splash resistant","IPS LCD, 90Hz, 528 nits (HBM)","6.56 inches, 103.4 cm2 (~83.6% screen-to-body ratio)","720 x 1612 pixels, 20:9 ratio (~269 ppi density)",,,"Android 14, Funtouch 14",Mediatek Helio G85 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,microSDXC (dedicated slot),64GB 4GB RAM,"13 MP, f/2.2, (wide), PDAF
0.08 MP, f/3.0 (auxiliary lens)","LED flash, panorama",1080p@30fps,"5 MP, f/2.2, (wide)",,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE","GPS, GALILEO, GLONASS, BDS, QZSS",No,FM radio,"USB Type-C 2.0, OTG","Accelerometer, proximity, compass","Li-Ion 5000 mAh, non-removable",15W wired,,"Space Black, Gem Green",V2350,0.98 W/kg (head)     0.84 W/kg (body)     ,,"₹ 7,999",,,"40,600 hits",
