,Name,2G,3G,4G,5G,Announced,Released,Dimension,Weight,Build,Sim,Body(Other),Display Type,Display Size,Resolution,Display Protection,Display(Other),OS,Chipset,CPU,GPU,Memory(External),Memory(Internal),Main Camera,Main Camera(Features),Main Camera(Video),Front Camera,Front Camera(Features),Front Camera(Video),Headphone Jack,WiFi,Bluetooth,GPS,NFC,Radio,USB,Sensors,Battery Type,Charging,Battery Talktime,Colors,Models,SAR,SAR EU,Price,Benchmark Results,Battery Test,Rating
0,Xiaomi Redmi A3x,True,True,True,False,"2024, May 24","Available. Released 2024, May 24",-,-,"Glass front (Gorilla Glass 3), glass back, plastic frame","Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD, 90Hz","6.71 inches, 106.5 cm2 (~82.9% screen-to-body ratio)",720 x 1650 pixels (~268 ppi density),Corning Gorilla Glass 3,,"Android 14, MIUI",Unisoc T603,Octa-core,,microSDXC (dedicated slot),64GB 3GB RAM,"8 MP, f/2.0, (wide)
0.08 MP (auxiliary lens)","LED flash, HDR",1080p@30fps,"5 MP, f/2.2, (wide)",,1080p@30fps,Yes,Yes,Yes,"GPS, GLONASS, GALILEO, BDS",No,FM radio,USB Type-C,Fingerprint (side-mounted); unspecified sensors,"5000 mAh, non-removable",10W wired,,"Midnight Black, Moonlight White, Aurora Green",,,,About 60 EUR,,,
1,Xiaomi Poco F6 Pro,True,True,True,True,"2024, May 23","Available. Released 2024, May 23",160.9 x 75 x 8.2 mm (6.33 x 2.95 x 0.32 in),209 g (7.37 oz),"Glass front (Gorilla Glass 5), glass back, aluminum frame","Dual SIM (Nano-SIM, dual stand-by)","IP54, dust and splash resistant","AMOLED, 68B colors, 120Hz, Dolby Vision, HDR10+, 700 nits (typ), 1200 nits (HBM), 4000 nits (peak)","6.67 inches, 107.4 cm2 (~89.0% screen-to-body ratio)","1440 x 3200 pixels, 20:9 ratio (~526 ppi density)",Corning Gorilla Glass 5,,"Android 14, HyperOS",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,No,"256GB 12GB RAM, 512GB 12GB RAM, 1TB 16GB RAM","50 MP, f/1.6, (wide), 1/1.55"", 1.0µm, PDAF, OIS
8 MP, f/2.2, (ultrawide)
2 MP, f/2.4, (macro)","LED flash, HDR, panorama","8K@24fps, 4K@24/30/60fps, 1080p@30/60/120/240/960fps, 720p@1920fps, gyro-EIS","16 MP, (wide)",HDR,"1080p@30/60fps, gyro-EIS",No,"Wi-Fi 802.11 a/b/g/n/ac/6/7 (market/region dependent), tri-band, Wi-Fi Direct","5.3, A2DP, LE, aptX HD, LHDC","GPS (L1+L5), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5), GLONASS",Yes (market/region dependent),No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, proximity, gyro, compass","5000 mAh, non-removable","120W wired, PD3.0, QC3+, 100% in 19 min (advertised)
",,"Black, White",,,,$ 563.99 / £ 469.90 / € 499.90,"
AnTuTu: 1287854 (v9), 1584439 (v10)
GeekBench: 4859 (v5), 5310 (v6)",,4.2
2,Xiaomi Poco F6,True,True,True,True,"2024, May 23","Available. Released 2024, May 23",160.5 x 74.5 x 8 mm (6.32 x 2.93 x 0.31 in),179 g (6.31 oz),"Glass front (Gorilla Glass Victus), plastic frame, plastic back","Dual SIM (Nano-SIM, dual stand-by)","IP64, dust and water resistant","AMOLED, 68B colors, 120Hz, HDR10+, Dolby Vision, 500 nits (typ), 1200 nits (HBM), 2400 nits (peak)","6.67 inches, 107.4 cm2 (~89.8% screen-to-body ratio)","1220 x 2712 pixels, 20:9 ratio (~446 ppi density)",Corning Gorilla Glass Victus,,"Android 14, HyperOS",Qualcomm SM8635 Snapdragon 8s Gen 3 (4 nm),Octa-core (1x3.0 GHz Cortex-X4 & 4x2.8 GHz Cortex-A720 & 3x2.0 GHz Cortex-A520),Adreno 735,No,"256GB 8GB RAM, 512GB 12GB RAM","50 MP, f/1.6, (wide), 1/1.95"", 0.8µm, PDAF, OIS
8 MP, (ultrawide), 1/4.0"", 1.12µm","LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/120/240fps, gyro-EIS","20 MP, f/2.2, (wide), 0.8µm",HDR,1080p@30/60fps,No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","5.4, A2DP, LE","GPS, GALILEO, GLONASS, QZSS, BDS (B1I+B1c)",Yes (market/region dependent),No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, compass","5000 mAh, non-removable","90W wired, PD3.0, 2-100% in 35 min (advertised)",,"Black, Green, Titanium",24069PC21G,,,$ 419.99 / £ 339.90 / € 389.90,"
AnTuTu: 1497886 (v10)
GeekBench: 4883 (v6)
3DMark Wild life: 11443 (offscreen 1440p)",,4.1
3,Xiaomi Poco Pad,True,True,False,False,"2024, May 23","Available. Released 2024, May 23",280 x 181.9 x 7.5 mm (11.02 x 7.16 x 0.30 in),571 g (1.26 lb),"Glass front (Gorilla Glass 3), aluminum frame, aluminum back",No,Stylus support (magnetic),"IPS LCD, 68B colors, 120Hz, Dolby Vision, 600 nits (HBM)","12.1 inches, 424.5 cm2 (~83.4% screen-to-body ratio)","1600 x 2560 pixels, 16:10 ratio (~249 ppi density)",Corning Gorilla Glass 3,,"Android 14, HyperOS",Qualcomm SM7435-AB Snapdragon 7s Gen 2 (4 nm),Octa-core (4x2.40 GHz Cortex-A78 & 4x1.95 GHz Cortex-A55),Adreno 710,microSDXC (dedicated slot),256GB 8GB RAM,"8 MP, f/2.0, (wide), 1/4.0"", 1.12µm",LED flash,1080p@30fps,"8 MP, f/2.3, (wide), 1/4.0"", 1.12µm",,1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/a/6, dual-band, Wi-Fi Direct","5.2, A2DP, LE, aptX HD, aptX Adaptive",No,No,No,USB Type-C 2.0,"Accelerometer, gyro, proximity (accessories only), compass","10000 mAh, non-removable","33W wired, PD3.0, QC3+",,"Dark Gray, Blue",2405CPCFBG,,,About 280 EUR,,,
4,Xiaomi Redmi Note 13R,True,True,True,True,"2024, May 17","Available. Released 2024, May 17",168.6 x 76.3 x 8.2 mm (6.64 x 3.00 x 0.32 in),205 g (7.23 oz),"Glass front, plastic frame, glass back","Dual SIM (Nano-SIM, dual stand-by)","IP53, dust and splash resistant","IPS LCD, 120Hz, 550 nits","6.79 inches, 109.5 cm2 (~85.1% screen-to-body ratio)",1080 x 2460 pixels (~396 ppi density),,,"Android 14, HyperOS",Qualcomm SM4450 Snapdragon 4+ Gen 2 (4 nm),Octa-core (2x2.3 GHz Cortex-A78 & 6x1.95 GHz Cortex-A55),Adreno 613,No,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, PDAF
2 MP, f/2.4, (macro)","LED flash, HDR",1080p@30fps,"8 MP, (wide), 1/4.0"", 1.12µm",,1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.3, A2DP, LE","GPS, GLONASS, GALILEO, BDS",Yes,No,USB Type-C,"Fingerprint (side-mounted), accelerometer, compass","5030 mAh, non-removable",33W wired,,"Black, Blue, Silver",,,,About 180 EUR,,,
5,Xiaomi Redmi Pad Pro,True,True,False,False,"2024, April 10","Available. Released 2024, April 15",280 x 181.9 x 7.5 mm (11.02 x 7.16 x 0.30 in),571 g (1.26 lb),"Glass front (Gorilla Glass 3), aluminum frame, aluminum back",No,Stylus support (magnetic),"IPS LCD, 120Hz, Dolby Vision, 600 nits","12.1 inches, 424.5 cm2 (~83.4% screen-to-body ratio)","1600 x 2560 pixels, 16:10 ratio (~249 ppi density)",Corning Gorilla Glass 3,,"Android 14, HyperOS",Qualcomm SM7435-AB Snapdragon 7s Gen 2 (4 nm),Octa-core (4x2.40 GHz Cortex-A78 & 4x1.95 GHz Cortex-A55),Adreno 710,microSDXC (dedicated slot),"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",8 MP,"LED flash, HDR",1080p@30fps,8 MP,,1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/a/6, dual-band, Wi-Fi Direct","5.2, A2DP, LE",No,No,No,USB Type-C 2.0,"Accelerometer, gyro, proximity (accessories only)","10000 mAh, non-removable","33W wired, PD3.0, QC3+",,"Dark Gray, Blue, Green",,,,About 200 EUR,,,
6,Xiaomi Redmi Turbo 3,True,True,True,True,"2024, April 10","Available. Released 2024, April 10",160.5 x 74.4 x 7.8 mm (6.32 x 2.93 x 0.31 in),179 g (6.31 oz),"Glass front (Gorilla Glass Victus), plastic frame, plastic back","Dual SIM (Nano-SIM, dual stand-by)",IP64 dust and water resistant,"AMOLED, 68B colors, 120Hz, Dolby Vision, HDR10+, 2400 nits (peak)","6.67 inches, 107.4 cm2 (~89.9% screen-to-body ratio)","1220 x 2712 pixels, 20:9 ratio (~446 ppi density)",Corning Gorilla Glass Victus,,"Android 14, HyperOS",Qualcomm SM8635 Snapdragon 8s Gen 3 (4 nm),Octa-core (1x3.0 GHz Cortex-X4 & 4x2.8 GHz Cortex-A720 & 3x2.0 GHz Cortex-A520),Adreno 735,No,"256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM","50 MP, f/1.6, (wide), 1/1.95"", 0.8µm, PDAF, OIS
8 MP, (ultrawide), 1/4.0"", 1.12µm","LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/120/240fps, gyro-EIS","20 MP, f/2.2, (wide), 0.8µm",HDR,1080p@30/60fps,No,"Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band, Wi-Fi Direct","5.4, A2DP, LE, aptX HD, aptX Adaptive, LHDC","GPS, GALILEO, GLONASS, QZSS, BDS (B1I+B1c)",Yes,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 5000 mAh, non-removable","90W wired, PD3.0, QC3+",,"Black, Green, Titanium, Harry Potter",,,,About 260 EUR,,,
7,Xiaomi Poco C61,True,True,True,False,"2024, March 26","Available. Released 2024, March 28",168.4 x 76.3 x 8.3 mm (6.63 x 3.00 x 0.33 in),199 g (7.05 oz),,"Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD, 90Hz, 500 nits","6.71 inches, 106.5 cm2 (~82.9% screen-to-body ratio)",720 x 1650 pixels (~268 ppi density),Corning Gorilla Glass 3,,"Android 14, MIUI",Mediatek Helio G36 (12 nm),Octa-core (4x2.2 GHz Cortex-A53 & 4x1.6 GHz Cortex-A53),PowerVR GE8320,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 6GB RAM","8 MP, f/2.0, (wide)
0.08 MP (auxiliary lens)","Dual-LED flash, HDR",1080p@30fps,5 MP,,1080p@30fps,Yes,Wi-Fi 802.11 a/b/g/n/ac,"5.4, A2DP, LE","GPS, GLONASS, GALILEO, BDS",No,"FM radio, recording","USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, compass","Li-Po 5000 mAh, non-removable",10W wired,,"Black, Blue, Green",2312BPC51H,0.84 W/kg (head)     0.77 W/kg (body)     ,,"₹ 6,499",,,
8,Xiaomi Civi 4 Pro,True,True,True,True,"2024, March 21","Available. Released 2024, March 21",157.2 x 72.8 x 7.5 mm or 7.8 mm,177.6 or 179.3 g or 180.9 g (6.28 oz),"Glass front (Gorilla Glass Victus 2), glass back or silicone polymer back (eco leather), aluminum frame","Dual SIM (Nano-SIM, dual stand-by)",,"AMOLED, 68B colors, 120Hz, Dolby Vision, HDR10+, 3000 nits (peak)","6.55 inches, 103.5 cm2 (~90.4% screen-to-body ratio)","1236 x 2750 pixels, 20:9 ratio (~460 ppi density)",Corning Gorilla Glass Victus 2,,"Android 14, HyperOS",Qualcomm SM8635 Snapdragon 8s Gen 3 (4 nm),Octa-core (1x3.0 GHz Cortex-X4 & 4x2.8 GHz Cortex-A720 & 3x2.0 GHz Cortex-A520),Adreno 735,No,"256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM","50 MP, f/1.6, 25mm (wide), 1/1.55"", 1.0µm, PDAF, OIS
50 MP, f/2.0, 50mm (telephoto), 0.64µm, PDAF, 2x optical zoom
12 MP, f/2.2, 15mm, 120˚ (ultrawide), 1.12µm","Dual-LED flash, HDR, panorama, Leica lenses","4K@24/30/60fps, 1080p@30/60/120/240/960fps, 720p@1920fps, HDR10+, BT.2020, 10-bit video, gyro-EIS","32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8µm, AF
32 MP, f/2.4, 100˚ (ultrawide), 1/2.8"", 0.8µm","HDR, panorama","4K@30fps, 1080p@30/60fps; gyro-EIS",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.4, A2DP, LE, LHDC","GPS (L1), GLONASS (G1), BDS (B1I+B1c), GALILEO (E1), QZSS (L1)",Yes,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum","Li-Po 4700 mAh, non-removable","67W wired, PD3.0, 100% in 40 minutes (advertised)",,"Black, Pink, Blue, Green",,,,About 380 EUR,,,
9,Xiaomi Poco X6 Neo,True,True,True,True,"2024, March 13","Available. Released 2024, March 13",161.1 x 75 x 7.7 mm (6.34 x 2.95 x 0.30 in),175 g (6.17 oz),"Glass front (Gorilla Glass 5), plastic frame, plastic back","Hybrid Dual SIM (Nano-SIM, dual stand-by)","IP54, dust and splash resistant","AMOLED, 1B colors, 120Hz, 1000 nits (peak)","6.67 inches, 107.4 cm2 (~88.9% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",Corning Gorilla Glass 5,,Android 13,Mediatek Dimensity 6080 (6 nm),Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (uses shared SIM slot),"128GB 8GB RAM, 256GB 12GB RAM","108 MP, f/1.8, (wide), 0.64µm, PDAF
2 MP, f/2.4, (depth)","LED flash, HDR, panorama",1080p@30fps,"16 MP, (wide)",HDR,1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.3, A2DP, LE","GPS, GLONASS, GALILEO, BDS",No,FM radio,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Li-Po 5000 mAh, non-removable",33W wired,,"Astral Black, Horizon Blue, Martian Orange",MZB0GGWIN,0.85 W/kg (head)     0.71 W/kg (body)     ,,"₹ 15,099",,,
